2023-08-30 19:17:17,795 INFO    StreamThr :15376 [internal.py:wandb_internal():86] W&B internal server running at pid: 15376, started at: 2023-08-30 19:17:17.794753
2023-08-30 19:17:17,796 DEBUG   HandlerThread:15376 [handler.py:handle_request():144] handle_request: status
2023-08-30 19:17:17,804 INFO    WriterThread:15376 [datastore.py:open_for_write():85] open: /Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/wandb/run-20230830_191717-dknc08tk/run-dknc08tk.wandb
2023-08-30 19:17:17,804 DEBUG   SenderThread:15376 [sender.py:send():379] send: header
2023-08-30 19:17:17,829 DEBUG   SenderThread:15376 [sender.py:send():379] send: run
2023-08-30 19:17:18,210 INFO    SenderThread:15376 [dir_watcher.py:__init__():211] watching files in: /Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/wandb/run-20230830_191717-dknc08tk/files
2023-08-30 19:17:18,210 INFO    SenderThread:15376 [sender.py:_start_run_threads():1121] run started: dknc08tk with start time 1693448237.795163
2023-08-30 19:17:18,214 DEBUG   SenderThread:15376 [sender.py:send_request():406] send_request: summary_record
2023-08-30 19:17:18,214 INFO    SenderThread:15376 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-08-30 19:17:18,223 DEBUG   HandlerThread:15376 [handler.py:handle_request():144] handle_request: check_version
2023-08-30 19:17:18,223 DEBUG   SenderThread:15376 [sender.py:send_request():406] send_request: check_version
2023-08-30 19:17:18,428 DEBUG   HandlerThread:15376 [handler.py:handle_request():144] handle_request: run_start
2023-08-30 19:17:18,434 DEBUG   HandlerThread:15376 [system_info.py:__init__():31] System info init
2023-08-30 19:17:18,435 DEBUG   HandlerThread:15376 [system_info.py:__init__():46] System info init done
2023-08-30 19:17:18,435 INFO    HandlerThread:15376 [system_monitor.py:start():181] Starting system monitor
2023-08-30 19:17:18,435 INFO    SystemMonitor:15376 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-08-30 19:17:18,435 INFO    HandlerThread:15376 [system_monitor.py:probe():201] Collecting system info
