2023-08-30 19:18:37,608 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Configure stats pid to 15485
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Loading settings from /Users/shiva/.config/wandb/settings
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Loading settings from /Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/wandb/settings
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program': '/Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/run.py'}
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_init.py:_log_setup():507] Logging user logs to /Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/wandb/run-20230830_191837-nm9rccn9/logs/debug.log
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/shiva/temp_op/l/A-Hybrid-Network-Combining-Cnn-and-Transformer-Encoder-to-Classify-Mosquitoes-Based-on-Wing-Beat-/wandb/run-20230830_191837-nm9rccn9/logs/debug-internal.log
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_init.py:init():547] calling init triggers
2023-08-30 19:18:37,609 INFO    MainThread:15485 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-30 19:18:37,610 INFO    MainThread:15485 [wandb_init.py:init():596] starting backend
2023-08-30 19:18:37,610 INFO    MainThread:15485 [wandb_init.py:init():600] setting up manager
2023-08-30 19:18:37,617 INFO    MainThread:15485 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-30 19:18:37,618 INFO    MainThread:15485 [wandb_init.py:init():606] backend started and connected
2023-08-30 19:18:37,626 INFO    MainThread:15485 [wandb_init.py:init():697] updated telemetry
2023-08-30 19:18:37,644 INFO    MainThread:15485 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-30 19:18:38,221 INFO    MainThread:15485 [wandb_run.py:_on_init():2180] communicating current version
2023-08-30 19:18:38,385 INFO    MainThread:15485 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.15.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-30 19:18:38,385 INFO    MainThread:15485 [wandb_init.py:init():781] starting run threads in backend
2023-08-30 19:18:38,444 INFO    MainThread:15485 [wandb_run.py:_console_start():2159] atexit reg
2023-08-30 19:18:38,444 INFO    MainThread:15485 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-30 19:18:38,444 INFO    MainThread:15485 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-30 19:18:38,444 INFO    MainThread:15485 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-30 19:18:38,445 INFO    MainThread:15485 [wandb_init.py:init():822] run started, returning control to user process
2023-08-30 19:18:38,481 INFO    MainThread:15485 [wandb_run.py:_finish():1894] finishing run naturalseeker22/CNN-trans_zen/nm9rccn9
2023-08-30 19:18:38,481 INFO    MainThread:15485 [wandb_run.py:_atexit_cleanup():2128] got exitcode: 0
2023-08-30 19:18:38,481 INFO    MainThread:15485 [wandb_run.py:_restore():2111] restore
2023-08-30 19:18:38,481 INFO    MainThread:15485 [wandb_run.py:_restore():2117] restore done
2023-08-30 19:18:45,233 INFO    MainThread:15485 [wandb_run.py:_footer_history_summary_info():3481] rendering history
2023-08-30 19:18:45,234 INFO    MainThread:15485 [wandb_run.py:_footer_history_summary_info():3513] rendering summary
2023-08-30 19:18:45,239 INFO    MainThread:15485 [wandb_run.py:_footer_sync_info():3440] logging synced files
